trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
180,False,"{'a': 0.6, 'e': 0.1669601696670407}",30,15,25.914531723966988,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.6, 'e': 0.16529888822158653}",30,0,43.39486213067115,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.6, 'e': 0.16365413680270405}",25,8,31.653749822208404,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.6, 'e': 0.16202575093388075}",30,11,-17.586334111556383,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.6, 'e': 0.16041356777517274}",25,15,14.187424674136356,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.6, 'e': 0.15881742610692068}",25,8,-10.027628104742297,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
186,False,"{'a': 0.6, 'e': 0.1572371663136276}",20,7,22.307431370737792,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.6, 'e': 0.1556726303679973}",20,6,3.426331982446862,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
188,False,"{'a': 0.6, 'e': 0.1541236618151314}",25,8,13.556391970099405,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.6, 'e': 0.15259010575688386}",20,4,-14.842892630647874,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
190,False,"{'a': 0.6, 'e': 0.15107180883637084}",30,18,21.14890699798372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.6, 'e': 0.14956861922263504}",25,0,30.239771289851156,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
192,False,"{'a': 0.6, 'e': 0.14808038659546244}",20,12,19.751426052236692,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.6, 'e': 0.14660696213035015}",20,0,11.469323649105878,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
194,False,"{'a': 0.6, 'e': 0.14514819848362373}",35,20,-35.625606411779984,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.6, 'e': 0.14370394977770293}",35,0,-37.75077877429676,"{0: 29, 1: 0, 2: 4, 3: 2, 4: 0}",0
196,False,"{'a': 0.6, 'e': 0.1422740715865136}",25,3,25.147041827991387,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.6, 'e': 0.140858420921045}",30,0,37.262106526370815,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
198,False,"{'a': 0.6, 'e': 0.13945685621505094}",25,0,4.634815438271349,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
199,False,"{'a': 0.6, 'e': 0.13806923731089282}",20,0,-14.929510435377011,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
200,False,"{'a': 0.6, 'e': 0.13669542544552385}",25,19,7.993704539991123,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.6, 'e': 0.1353352832366127}",30,9,36.454873644042586,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.6, 'e': 0.13398867466880493}",20,0,19.783798408369908,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
203,False,"{'a': 0.6, 'e': 0.13265546508012172}",25,4,31.092193114317926,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.6, 'e': 0.13133552114849303}",20,1,-19.735819005515733,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
205,False,"{'a': 0.6, 'e': 0.1300287108784259}",25,9,-37.58943590759335,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
206,False,"{'a': 0.6, 'e': 0.12873490358780423}",20,13,12.67456549638026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.6, 'e': 0.12745396989482075}",30,17,15.904302636823472,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.6, 'e': 0.12618578170503877}",30,20,18.054969112187393,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.6, 'e': 0.12493021219858241}",20,2,2.7865082093906817,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
210,False,"{'a': 0.6, 'e': 0.12368713581745483}",20,0,6.659053429649146,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
211,False,"{'a': 0.6, 'e': 0.1224564282529819}",20,3,17.49255040314346,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.6, 'e': 0.12123796643338168}",35,16,23.735334307300377,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.6, 'e': 0.12003162851145673}",20,9,18.525391575003027,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.6, 'e': 0.11883729385240965}",20,7,13.667867181519677,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.6, 'e': 0.11765484302177918}",20,13,11.650737643296099,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.6, 'e': 0.11648415777349697}",20,0,-16.675381945034328,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
